Skill Name,Description,Path,Tier,Augment,Special,Limitations,Phys Rep,Prerequisite,Uses Base Per Day,Uses Per Extra Tier,Uses Scale Start Tier,Periodicity,Per Milestone 1,Per Milestone 2
Wilderness Survival,"Anybody's guess! :D

Granted by the DM for braving the storm!",Special,0,,,,,,,,,,,
Appraise [Gems],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Gems (Bangles, Broaches, Rings). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Runes],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses):  Runes (Tattoos, Brands, Etchings). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Weaponry],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Weaponry (Blades, Hammers, Spears, etc.). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Armor],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Armor (Breastplates, Greaves, Helms, Shields, etc.). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Alchemy],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Alchemy (Solutions, Reagents, Monster Parts, etc.). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Constructs],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Constructs (Clockwork Machines, Engines, etc.). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Clothing],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Clothing (Boots, Capes, Cloaks, Hats, etc.). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Appraise [Wondrous Items],"Upon taking the Appraise skill, an artificer can select ONE expertise to be well-versed in (non-exhaustive examples in parentheses): Wondrous Items (Paintings, Spell Foci, Curiosities, etc.). The Artificer also gains the ability to write Schematics to replicate the effects of spells– embedding in Artificer Objects of your Appraisal expertise.  The Artificer may read scrolls, magical runes, and other materials as though they had the Read/Write Arcana spell, but only to understand them as a reference for creating items (see The Object’s Schematics below), not to cast the spells.  When scrolls are read only as a reference, they are neither activated nor expended. When using them to create a Schematic, the scroll or other reference material is expended due to experimentation.  The Schematic persists indefinitely for future projects, but must be at-hand to create an Artificer Object (they can be stolen through Pickpocket or Loot and are prioritized over coin).",Artificer,1,,,"In terms of roleplay, your keen eye for objects of this category allows you to intuit its relative worth and even altered properties, subject to Organizer oversight.  Make it fun and specific to your character!  You may take this skill a number of times equal to your Artificer Tier, each time selecting a new Expertise.  An Artificer can only understand reference materials in Tier up to their Artificer Professional Expertise level. An Artificer may read as many reference materials as they like, but may only draft one Schematic per event.  These Schematics are mundane and may not be used to cast spells like scrolls.  Once drafted, a Schematic does not scale—even if an Artificer that authored it improves, the Schematic stays the same level.","To Appraise - a magnifying glass, examiner’s loupe, or craftsperson-specific object.  For Schematics - an artistic architectural document that shows the fashioning of an object or demonstration of an ability.",, ,,,,,
Tinkerer’s Quirk,"[Wondrous Items] You may attach a mechanism to an object that alters its properties in one way of your choice with no gem cost: the object (1) sheds light, as though through a light spell, (2) shows a static visual effect (or small picture), (3) makes a continuous non-damaging audio effect or a nonverbal sound, or (4) plays a recorded message when touched, up to 6 seconds long.",Artificer,1,,,,"an actual light emitting material, a picture, a small speaker, or a message strip as appropriate adhered to or within another object.  Make it!",, ,,,,,
